Date,P,D,E,CPI,Fraction,Rate_GS10,Real_Price,Real_Dividend,Real_Total_Return_Price,Real_Earnings,Real_Scaled_Earnings,CAPE,TR_CAPE,Excess_CAPE_Yield,Monthly_Total_Returns,Real_Total_Returns,Annualized_Stock_Real_Return_10Y,Annualized_Bonds_Real_Return_10Y,Real_Excess_Annualized_Returns_10Y,Year,Dividend_Ratio,Annual_Return,Total_Return
1924.12,10.16,0.55,0.93,17.3,1924.96,3.88,188.01,10.18,"3,226.86",17.21,295.37,9.31,13.41,12.39%,1.0,6.82,7.27%,7.09%,0.18%,1924,5.413385826771654,18.83040935672513,24.243795183496786
1925.12,12.46,0.6,1.25,17.9,1925.96,3.7,222.85,10.73,"4,027.92",22.36,404.09,11.15,15.79,10.96%,1.0,6.95,8.72%,7.02%,1.70%,1925,4.815409309791332,22.637795275590555,27.453204585381886
1926.12,13.49,0.69,1.24,17.7,1926.96,3.37,243.99,12.48,"4,643.27",22.43,426.81,13.01,17.68,8.63%,1.01,7.48,10.35%,6.34%,4.01%,1926,5.114899925871015,8.26645264847512,13.381352574346135
1927.12,17.46,0.77,1.11,17.3,1927.96,3.33,323.1,14.25,"6,450.73",20.54,410.1,18.65,24.1,4.39%,1.0,7.94,2.46%,5.79%,-3.33%,1927,4.410080183276059,29.429206819866582,33.839287003142644
1928.12,23.15,0.85,1.38,17.1,1928.96,3.58,433.41,15.91,"9,014.58",25.84,537.37,25.3,31.47,0.73%,1.0,8.14,1.41%,6.27%,-4.86%,1928,3.6717062634989204,32.58877434135166,36.26048060485058
1929.12,21.4,0.97,1.61,17.2,1929.96,3.32,398.31,18.05,"8,585.22",29.97,645.9,22.01,26.57,0.29%,1.0,8.57,2.11%,6.12%,-4.01%,1929,4.532710280373832,-7.559395248380129,-3.026684968006297
1930.12,15.51,0.98,0.97,16.1,1930.96,3.34,308.41,19.49,"6,969.37",19.29,435.87,16.06,19.35,1.05%,1.0,9.45,3.13%,5.47%,-2.34%,1930,6.3185041908446165,-27.523364485981304,-21.204860295136687
1931.12,8.44,0.82,0.61,14.6,1931.96,3.65,185.07,17.98,"4,474.76",13.38,323.41,9.31,11.61,5.41%,1.0,10.5,5.58%,3.19%,2.39%,1931,9.715639810426541,-45.58349451966473,-35.86785470923819
1932.12,6.82,0.5,0.41,13.1,1932.96,3.34,166.67,12.22,"4,436.29",10.02,266.7,8.26,11.03,6.26%,1.01,12.44,6.43%,0.78%,5.66%,1932,7.331378299120233,-19.194312796208525,-11.862934497088292
1933.12,9.97,0.44,0.44,13.2,1933.96,3.14,241.8,10.67,"6,798.49",10.67,300.03,12.28,16.71,2.34%,1.0,12.98,4.15%,0.30%,3.85%,1933,4.413239719157472,46.18768328445748,50.60092300361495
1934.12,9.26,0.45,0.49,13.4,1934.96,2.82,221.23,10.75,"6,509.50",11.71,344.46,11.64,15.92,3.25%,1.0,13.54,6.29%,-0.02%,6.30%,1934,4.859611231101512,-7.121364092276838,-2.261752861175326
1935.12,13.04,0.47,0.76,13.8,1935.96,2.66,302.51,10.9,"9,292.59",17.63,541.59,16.16,21.87,0.96%,1.0,13.69,5.70%,0.03%,5.67%,1935,3.604294478527607,40.82073434125269,44.425028819780294
1936.12,17.06,0.72,1.02,14.0,1936.96,2.68,390.11,16.46,"12,434.53",23.32,743.45,21.13,27.9,-0.26%,1.0,13.84,0.02%,-1.54%,1.56%,1936,4.220398593200469,30.828220858895694,35.04861945209616
1937.12,11.02,0.8,1.13,14.4,1937.96,2.57,245.0,17.79,"8,229.08",25.12,843.82,13.01,16.93,3.30%,1.0,13.95,3.81%,-2.38%,6.18%,1937,7.259528130671507,-35.40445486518171,-28.144926734510207
1938.12,12.69,0.51,0.64,14.0,1938.96,2.38,290.18,11.66,"10,367.31",14.63,522.86,15.76,20.56,1.99%,1.0,14.96,1.81%,-3.02%,4.83%,1938,4.0189125295508275,15.154264972776765,19.173177502327594
1939.12,12.37,0.62,0.9,14.0,1939.96,2.22,282.87,14.18,"10,575.72",20.58,769.45,16.28,20.78,1.88%,1.0,15.51,3.39%,-2.95%,6.33%,1939,5.012126111560226,-2.5216706067769934,2.490455504783233
1940.12,10.53,0.67,1.05,14.1,1940.96,1.97,239.08,15.21,"9,485.83",23.84,945.88,13.91,17.47,3.90%,1.0,16.09,6.50%,-3.82%,10.32%,1940,6.362773029439698,-14.874696847210988,-8.51192381777129
1941.12,8.76,0.71,1.16,15.5,1941.96,2.42,180.93,14.66,"7,702.09",23.96,"1,019.91",10.09,12.76,8.10%,1.0,14.37,10.71%,-3.14%,13.85%,1941,8.105022831050228,-16.80911680911681,-8.704093978066581
1942.12,9.52,0.59,1.03,16.9,1942.96,2.47,180.34,11.18,"8,276.22",19.51,895.43,9.62,12.5,10.51%,1.0,13.45,11.66%,-2.43%,14.09%,1942,6.197478991596639,8.675799086757996,14.873278078354634
1943.12,11.48,0.61,0.94,17.4,1943.96,2.48,211.22,11.22,"10,209.00",17.29,835.93,10.74,14.07,9.64%,1.0,13.38,9.37%,-1.98%,11.35%,1943,5.313588850174216,20.588235294117663,25.90182414429188
1944.12,13.1,0.64,0.93,17.8,1944.96,2.38,235.61,11.51,"11,977.33",16.73,850.3,11.64,15.41,9.09%,1.0,13.52,12.02%,-1.70%,13.73%,1944,4.885496183206107,14.111498257839706,18.996994441045814
1945.12,17.33,0.66,0.96,18.2,1945.96,2.21,304.84,11.61,"16,181.81",16.89,896.4,15.02,19.82,7.26%,1.0,13.74,11.97%,-2.01%,13.98%,1945,3.808424697057127,32.290076335877856,36.09850103293498
1946.12,15.13,0.71,1.06,21.5,1946.96,2.25,225.29,10.57,"12,453.48",15.78,872.48,11.37,14.9,10.93%,1.0,11.85,15.31%,-1.06%,16.37%,1946,4.692663582286847,-12.694748990190408,-8.00208540790356
1947.12,15.03,0.84,1.61,23.4,1947.96,2.42,205.63,11.49,"11,955.16",22.03,"1,280.63",10.68,13.82,11.91%,1.0,10.97,14.28%,0.10%,14.18%,1947,5.588822355289421,-0.6609385327164707,4.927883822572951
1948.12,15.19,0.93,2.29,24.1,1948.96,2.32,201.78,12.35,"12,405.54",30.42,"1,870.22",10.16,13.07,13.10%,1.0,11.0,17.36%,-0.33%,17.69%,1948,6.122448979591837,1.0645375914837052,7.1869865710755425
1949.12,16.54,1.14,2.32,23.6,1949.96,2.32,224.37,15.46,"14,754.55",31.47,"2,069.56",10.53,13.57,12.54%,1.0,11.5,16.66%,-1.18%,17.84%,1949,6.892382103990326,8.887425938117177,15.779808042107504
1950.12,19.75,1.47,2.84,25.0,1950.96,2.55,252.91,18.82,"17,810.42",36.37,"2,561.09",11.31,14.51,12.19%,1.0,10.9,14.28%,0.31%,13.97%,1950,7.443037974683545,19.407496977025396,26.85053495170894
1951.12,23.41,1.41,2.44,26.5,1951.96,2.67,282.81,17.03,"21,304.93",29.48,"2,220.59",12.15,15.54,11.07%,1.0,10.44,15.16%,0.88%,14.28%,1951,6.023067065356685,18.53164556962026,24.554712634976944
1952.12,26.04,1.41,2.4,26.7,1952.96,2.82,312.23,16.91,"24,934.92",28.78,"2,298.15",12.93,16.58,9.59%,1.0,10.52,12.07%,1.24%,10.82%,1952,5.414746543778802,11.234515164459635,16.649261708238438
1953.12,24.83,1.45,2.51,26.9,1953.96,2.59,295.5,17.26,"24,994.22",29.87,"2,526.60",11.75,15.1,10.37%,1.01,10.95,14.12%,0.85%,13.27%,1953,5.839710028191704,-4.646697388632881,1.1930126395588232
1954.12,34.97,1.54,2.77,26.7,1954.96,2.51,419.3,18.47,"37,282.53",33.21,"2,953.18",15.79,20.26,7.96%,0.99,11.38,11.23%,0.74%,10.49%,1954,4.403774663997712,40.83769633507855,45.241470999076256
1955.12,45.37,1.64,3.62,26.8,1955.96,2.96,541.97,19.59,"50,126.23",43.24,"3,999.49",18.94,23.94,6.26%,1.01,11.21,9.07%,0.77%,8.29%,1955,3.614723385497024,29.73977695167287,33.354500337169895
1956.12,46.44,1.74,3.41,27.6,1956.96,3.59,538.67,20.18,"51,745.59",39.55,"3,799.58",17.2,21.47,4.75%,1.01,10.65,7.41%,1.27%,6.15%,1956,3.7467700258397936,2.3583865990742803,6.105156624914073
1957.12,40.33,1.79,3.37,28.4,1957.96,3.21,454.62,20.18,"45,430.71",37.99,"3,796.22",13.67,16.95,6.06%,1.01,11.08,10.58%,0.40%,10.18%,1957,4.438383337465907,-13.156761412575369,-8.718378075109463
1958.12,53.49,1.75,2.89,28.9,1958.96,3.86,592.54,19.39,"61,511.18",32.01,"3,323.37",17.36,21.4,3.73%,0.99,10.65,8.30%,0.64%,7.66%,1958,3.2716395587960365,32.63079593354823,35.90243549234427
1959.12,59.06,1.83,3.39,29.4,1959.96,4.69,643.11,19.93,"68,879.02",36.91,"3,953.60",18.62,22.59,2.90%,1.0,10.21,5.13%,-0.06%,5.18%,1959,3.0985438537080934,10.413161338567956,13.51170519227605
1960.12,56.8,1.95,3.27,29.8,1960.96,3.84,610.2,20.95,"67,658.94",35.13,"3,895.15",17.56,21.07,3.63%,1.0,11.25,5.03%,0.06%,4.96%,1960,3.433098591549296,-3.8266169996613697,-0.3935184081120737
1961.12,71.74,2.02,3.19,30.0,1961.96,4.06,765.56,21.56,"87,434.11",34.04,"3,887.86",22.04,26.16,1.73%,1.0,11.4,3.35%,0.55%,2.80%,1961,2.815723445776415,26.302816901408455,29.11854034718487
1962.12,62.64,2.13,3.67,30.4,1962.96,3.86,659.66,22.43,"77,896.10",38.65,"4,563.84",18.59,22.0,2.83%,1.01,11.9,6.29%,0.09%,6.20%,1962,3.4003831417624517,-12.684694730972957,-9.284311589210505
1963.12,74.17,2.28,4.02,30.9,1963.96,4.13,768.44,23.62,"93,640.50",41.65,"5,075.30",21.04,24.79,2.02%,1.0,11.92,1.59%,-0.36%,1.95%,1963,3.0740191452069565,18.406768837803323,21.48078798301028
1964.12,83.96,2.5,4.55,31.2,1964.96,4.18,861.51,25.65,"108,113.18",46.69,"5,858.92",22.75,26.65,1.78%,1.0,12.25,-3.97%,-1.54%,-2.43%,1964,2.977608384945212,13.199406768235121,16.177015153180335
1965.12,91.73,2.72,5.19,31.8,1965.96,4.62,923.47,27.38,"119,377.38",52.25,"6,754.26",23.69,27.53,1.33%,1.0,12.11,-2.46%,-1.69%,-0.76%,1965,2.965224027035866,9.254406860409725,12.219630887445591
1966.12,81.33,2.87,5.55,32.9,1966.96,4.84,791.4,27.93,"105,769.94",54.01,"7,217.79",19.74,22.79,2.00%,1.02,12.08,0.28%,-0.60%,0.88%,1966,3.5288331488995452,-11.337621279843024,-7.808788130943478
1967.12,95.3,2.92,5.33,33.9,1967.96,5.7,899.98,27.58,"124,144.37",50.33,"6,943.23",21.75,25.02,0.68%,1.02,11.53,-2.59%,-0.63%,-1.96%,1967,3.064008394543547,17.176933480880365,20.24094187542391
1968.12,106.5,3.07,5.76,35.5,1968.96,6.03,960.42,27.69,"136,570.32",51.94,"7,386.34",22.28,25.6,0.54%,1.0,11.35,-3.62%,-1.39%,-2.23%,1968,2.8826291079812205,11.75236096537251,14.63499007335373
1969.12,91.11,3.16,5.78,37.7,1969.96,7.65,773.69,26.83,"113,592.34",49.08,"7,206.28",17.33,19.95,0.64%,1.0,10.16,-1.41%,-1.48%,0.06%,1969,3.4683349796948746,-14.450704225352117,-10.982369245657242
1970.12,90.05,3.14,5.13,39.8,1970.96,6.39,724.34,25.26,"110,490.20",41.26,"6,294.44",15.87,18.45,2.85%,1.02,11.32,0.32%,-4.02%,4.33%,1970,3.4869516935036096,-1.1634288223027145,2.323522871200895
1971.12,99.17,3.07,5.7,41.1,1971.96,5.93,772.46,23.91,"121,603.51",44.4,"6,989.41",16.6,19.41,3.29%,1.0,12.05,-1.74%,-4.60%,2.86%,1971,3.095694262377735,10.12770682953914,13.223401091916875
1972.12,117.5,3.15,6.42,42.5,1972.96,6.36,885.09,23.73,"143,325.94",48.36,"7,831.09",18.65,21.8,2.41%,1.0,12.0,-1.99%,-1.92%,-0.07%,1972,2.680851063829787,18.483412322274884,21.164263386104672
1973.12,94.78,3.38,8.16,46.2,1973.96,6.74,656.77,23.42,"109,620.06",56.54,"9,437.64",13.49,15.77,4.78%,0.99,11.49,2.41%,-1.54%,3.95%,1973,3.566153196876978,-19.336170212765957,-15.770017015888978
1974.12,67.07,3.6,8.89,51.9,1974.96,7.43,413.71,22.21,"72,116.71",54.84,"9,558.93",8.29,9.79,9.85%,1.0,10.49,6.87%,0.39%,6.47%,1974,5.3675264648874315,-29.236125764929323,-23.868599300041893
1975.12,88.7,3.68,7.96,55.5,1975.96,8.0,511.65,21.23,"93,094.50",45.92,"8,354.37",10.25,12.23,7.48%,1.02,10.21,6.65%,2.77%,3.88%,1975,4.148816234498309,32.249888176532004,36.39870441103031
1976.12,104.7,4.05,9.91,58.2,1976.96,6.87,575.92,22.28,"108,767.26",54.51,"10,294.97",11.6,13.85,7.62%,0.98,11.37,7.18%,3.84%,3.35%,1976,3.8681948424068766,18.038331454340483,21.90652629674736
1977.12,93.82,4.67,10.89,62.1,1977.96,7.69,483.66,24.07,"95,509.13",56.14,"11,086.06",9.68,11.63,8.88%,0.99,10.82,8.10%,3.41%,4.69%,1977,4.977616712854402,-10.391595033428857,-5.413978320574454
1978.12,96.11,5.07,12.33,67.7,1978.96,9.01,454.49,23.98,"94,460.64",58.31,"12,118.40",9.01,10.95,8.75%,1.0,9.87,9.63%,4.75%,4.88%,1978,5.27520549370513,2.44084416968664,7.71604966339177
1979.12,107.8,5.65,14.86,76.7,1979.96,10.39,449.95,23.58,"98,517.77",62.02,"13,580.46",8.75,10.72,8.41%,0.98,8.75,11.58%,7.34%,4.24%,1979,5.241187384044528,12.163146394755998,17.404333778800527
1980.12,133.5,6.16,14.82,86.3,1980.96,12.84,495.23,22.85,"114,026.73",54.98,"12,658.25",9.39,11.61,5.86%,1.03,7.51,9.05%,9.09%,-0.04%,1980,4.614232209737827,23.840445269016698,28.454677478754526
1981.12,123.8,6.63,15.36,94.0,1981.96,13.72,421.63,22.58,"102,069.90",52.31,"12,663.92",7.83,9.8,7.67%,0.97,7.52,12.15%,10.35%,1.80%,1981,5.355411954765751,-7.265917602996252,-1.910505648230501
1982.12,139.4,6.87,12.64,97.6,1982.96,10.54,457.25,22.53,"117,184.11",41.46,"10,625.59",8.47,10.78,9.94%,1.01,9.89,11.90%,8.07%,3.83%,1982,4.928263988522238,12.600969305331189,17.529233293853427
1983.12,164.4,7.09,14.03,101.3,1983.96,11.83,519.56,22.41,"139,064.53",44.34,"11,867.85",9.82,12.53,6.53%,1.02,9.84,10.75%,9.26%,1.49%,1983,4.31265206812652,17.93400286944047,22.24665493756699
1984.12,164.5,7.53,16.64,105.3,1984.96,11.5,500.12,22.89,"140,098.92",50.59,"14,171.71",9.6,12.22,6.25%,1.02,10.92,10.42%,7.01%,3.41%,1984,4.577507598784194,0.06082725060827521,4.63833484939247
1985.12,207.3,7.9,14.61,109.3,1985.96,9.26,607.18,23.14,"177,295.83",42.79,"12,495.38",11.69,14.85,6.31%,1.01,13.42,11.14%,6.86%,4.28%,1985,3.8109020742884705,26.018237082066875,29.829139156355346
1986.12,248.6,8.28,14.48,110.5,1986.96,7.11,720.24,23.99,"217,668.46",41.95,"12,678.36",14.09,17.74,6.61%,1.01,16.57,10.85%,4.49%,6.36%,1986,3.33065164923572,19.922817173178963,23.253468822414682
1987.12,241.0,8.81,17.5,115.4,1987.96,8.99,668.58,24.44,"208,207.10",48.55,"15,118.77",13.39,16.62,4.87%,1.03,15.13,14.26%,6.31%,7.95%,1987,3.6556016597510377,-3.057119871279157,0.5984817884718807
1988.12,276.5,9.75,23.75,120.5,1988.96,9.11,734.6,25.9,"236,872.96",63.1,"20,346.23",14.7,17.98,3.63%,1.01,15.69,15.20%,7.27%,7.94%,1988,3.52622061482821,14.730290456431527,18.256511071259737
1989.12,348.6,11.06,22.87,126.1,1989.96,7.84,885.02,28.08,"294,736.87",58.06,"19,336.29",17.65,21.15,2.92%,0.98,17.77,14.63%,4.93%,9.70%,1989,3.1726907630522083,26.07594936708861,29.24864013014082
1990.12,328.75,12.09,21.34,133.8,1990.96,8.08,786.59,28.93,"271,247.40",51.06,"17,607.36",15.85,18.8,2.71%,1.01,17.93,14.52%,5.94%,8.58%,1990,3.677566539923954,-5.694205393000584,-2.01663885307663
1991.12,388.51,12.2,15.97,137.9,1991.96,7.09,901.94,28.32,"321,265.73",37.07,"13,205.87",18.44,21.73,2.24%,1.01,20.15,10.90%,5.19%,5.71%,1991,3.1402023113948156,18.17794676806084,21.318149079455655
1992.12,435.64,12.39,19.09,141.9,1992.96,6.77,982.85,27.95,"360,619.60",43.07,"15,802.56",20.45,24.02,1.93%,1.02,21.48,6.93%,5.64%,1.29%,1992,2.844091451657332,12.130961880003088,14.97505333166042
1993.12,465.95,12.58,21.89,145.8,1993.96,5.77,1023.11,27.62,"385,931.72",48.06,"18,130.80",21.16,24.78,2.66%,1.01,23.86,8.16%,4.54%,3.62%,1993,2.6998605000536537,6.957579652924428,9.657440152978083
1994.12,455.19,13.17,30.6,149.7,1994.96,7.81,973.44,28.16,"377,594.47",65.44,"25,383.67",19.91,23.15,0.79%,1.01,21.49,9.36%,5.78%,3.58%,1994,2.893297304422329,-2.3092606502843616,0.5840366541379676
1995.12,614.57,13.79,33.96,153.5,1995.96,5.71,1281.75,28.76,"509,726.45",70.83,"28,166.54",25.03,28.75,1.74%,1.01,26.04,6.50%,3.65%,2.84%,1995,2.2438452902029056,35.01395021859006,37.25779550879297
1996.12,743.25,14.9,38.73,158.6,1996.96,6.3,1500.28,30.08,"609,579.75",78.18,"31,764.58",27.72,31.51,0.99%,0.98,25.69,5.75%,3.95%,1.80%,1996,2.004709048099563,20.938216964707014,22.942926012806577
1997.12,962.37,15.5,39.72,161.3,1997.96,5.81,1910.06,30.76,"789,806.74",78.83,"32,597.78",33.03,37.06,0.62%,1.03,27.91,3.26%,3.54%,-0.28%,1997,1.6106071469393266,29.481331987891025,31.09193913483035
1998.12,1190.05,16.2,37.71,163.9,1998.96,4.65,2324.48,31.64,"975,425.00",73.66,"30,909.02",38.82,42.93,1.05%,1.0,31.66,-3.82%,4.06%,-7.88%,1998,1.3612873408680308,23.658260336461012,25.019547677329044
1999.12,1428.68,16.69,48.17,168.3,1999.96,6.28,2717.64,31.75,"1,154,708.12",91.63,"38,932.64",44.2,48.11,-1.09%,0.98,28.75,-3.17%,4.06%,-7.23%,1999,1.168211215947588,20.052098651317184,21.22030986726477
2000.12,1330.93,16.27,50.0,174.0,2000.96,5.24,2448.76,29.93,"1,052,610.19",91.99,"39,544.16",37.27,40.06,0.10%,1.01,31.93,-1.13%,3.40%,-4.53%,2000,1.222453472383972,-6.841980009519277,-5.619526537135306
2001.12,1144.93,15.74,24.69,176.7,2001.96,5.09,2074.35,28.52,"903,636.43",44.73,"19,486.59",30.5,32.68,0.70%,1.01,33.42,0.31%,4.09%,-3.78%,2001,1.3747565353340379,-13.975190280480565,-12.600433745146526
2002.12,899.18,16.07,27.59,180.9,2002.96,4.03,1591.29,28.44,"704,482.73",48.83,"21,616.00",23.1,24.86,2.76%,1.0,37.18,4.27%,3.24%,1.03%,2002,1.7871838786449878,-21.46419431755654,-19.67701043891155
2003.12,1080.64,17.39,48.74,184.3,2003.96,4.27,1877.14,30.21,"845,432.14",84.66,"38,131.44",26.64,28.78,1.86%,1.01,37.2,4.93%,2.23%,2.69%,2003,1.6092315664791235,20.18060899931049,21.789840565789614
2004.12,1199.21,19.44,58.55,190.3,2004.96,4.23,2017.42,32.7,"923,711.04",98.5,"45,099.09",27.14,29.31,1.88%,1.0,37.68,5.46%,2.90%,2.56%,2004,1.6210672025750286,10.972201658276571,12.5932688608516
2005.12,1262.07,22.22,69.83,196.8,2005.96,4.47,2053.05,36.15,"956,490.24",113.59,"52,922.35",26.44,28.53,1.83%,1.01,37.28,5.23%,3.12%,2.11%,2005,1.7605996497817078,5.241784174581587,7.002383824363295
2006.12,1416.42,24.88,81.51,201.8,2006.96,4.56,2247.04,39.47,"1,065,868.31",129.31,"61,336.98",27.28,29.41,1.54%,0.99,37.86,5.04%,2.71%,2.34%,2006,1.756541138927719,12.229908008272128,13.986449147199847
2007.12,1479.22,27.73,66.18,210.04,2007.96,4.1,2254.65,42.27,"1,088,727.79",100.87,"48,709.46",25.96,27.96,2.43%,1.03,39.51,6.61%,2.37%,4.24%,2007,1.87463663282,4.433713164174469,6.308349796994468
2008.12,877.56,28.39,14.88,210.23,2008.96,2.42,1336.37,43.23,"660,985.09",22.66,"11,207.73",15.38,16.73,6.60%,0.99,47.13,11.65%,0.30%,11.35%,2008,3.235106431469074,-40.67413907329539,-37.439032641826316
2009.12,1110.38,22.41,50.97,215.95,2009.96,3.59,1646.12,33.22,"836,709.77",75.56,"38,407.66",20.32,22.51,3.85%,0.99,42.81,11.36%,2.13%,9.23%,2009,2.018227994020065,26.530379689138094,28.54860768315816
2010.12,1241.53,22.73,77.35,219.18,2010.96,3.29,1813.42,33.2,"939,925.43",112.98,"58,559.38",22.4,24.75,3.51%,0.99,44.61,11.80%,2.53%,9.27%,2010,1.8308055383277086,11.811271816855484,13.642077355183194
2011.12,1243.32,26.43,86.95,225.67,2011.96,1.98,1763.78,37.49,"932,093.88",123.35,"65,184.80",20.52,22.62,5.37%,1.0,49.92,13.94%,0.33%,13.61%,2011,2.1257600617701,0.14417694296553485,2.2699370047356346
2012.12,1422.29,31.25,86.51,229.6,2012.96,1.72,1983.15,43.57,"1,070,047.29",120.62,"65,085.03",21.24,23.46,5.40%,0.98,51.13,9.88%,-2.14%,12.02%,2012,2.1971609165500707,14.39452433806261,16.59168525461268
2013.12,1807.78,34.99,100.2,233.05,2013.96,2.9,2483.35,48.07,"1,367,473.90",137.65,"75,795.11",24.86,27.48,3.50%,1.01,46.38,8.98%,-1.46%,10.44%,2013,1.9355231278142253,27.103473975068383,29.038997102882607
2014.12,2054.27,39.44,102.31,234.81,2014.96,2.21,2800.77,53.77,"1,572,505.85",139.49,"78,316.42",26.79,29.52,3.65%,1.03,50.17,10.01%,-2.40%,12.41%,2014,1.919903420679852,13.634955580878195,15.554859001558047
2015.12,2054.08,43.39,86.53,236.53,2015.96,2.24,2780.23,58.73,"1,592,931.56",117.12,"67,103.70",25.97,28.54,3.47%,1.02,50.71,,,,2015,2.1123812120267953,-0.009249027635127582,2.1031321843916677
2016.12,2246.63,45.7,94.55,241.43,2016.96,2.49,2979.04,60.6,"1,743,631.63",125.37,"73,381.18",27.87,30.59,2.91%,1.01,49.45,,,,2016,2.034157827501636,9.374026328088503,11.408184155590138
2017.12,2664.34,48.93,109.88,246.52,2017.96,2.4,3459.96,63.54,"2,064,715.16",142.69,"85,150.88",32.09,35.02,2.33%,0.99,49.95,,,,2017,1.8364773264673426,18.592736676711354,20.429214003178696
2018.12,2567.31,53.75,132.39,251.23,2018.96,2.83,3271.46,68.49,"1,989,122.15",168.7,"102,574.24",28.29,30.82,2.50%,1.01,48.57,,,,2018,2.093631076885923,-3.641802472657396,-1.548171395771473
2019.12,3176.75,58.24,139.47,256.97,2019.96,1.86,3957.62,72.56,"2,453,274.86",173.75,"107,707.03",30.33,33.21,3.19%,1.01,52.84,,,,2019,1.8333202172031164,23.738465553439212,25.57178577064233
2020.12,3695.31,58.28,94.13,260.47,2020.96,0.93,4541.79,71.63,"2,868,036.79",115.69,"73,057.01",33.77,37.03,3.77%,0.99,57.29,,,,2020,1.577134259372015,16.323601164712365,17.90073542408438
2021.12,4674.77,60.4,197.87,278.8,2021.96,1.47,5367.91,69.35,"3,436,739.98",227.21,"145,467.55",38.3,41.72,3.28%,0.97,51.58,,,,2021,1.2920421753369682,26.505489390605952,27.79753156594292
2022.12,3912.38,66.92,172.75,296.8,2022.96,3.62,4220.09,72.18,"2,744,594.13",186.34,"121,186.73",28.32,30.68,2.51%,1.01,41.18,,,,2022,1.7104677970953743,-16.308609835350197,-14.598142038254823
2023.12,4685.05,70.3,192.43,306.75,2023.96,4.02,4889.63,73.37,"3,231,629.48",200.83,"132,733.32",31.45,33.99,1.95%,1.0,40.05,,,,2023,1.5005176038676213,19.74935972477112,21.249877328638743
2024.12,6010.91,74.83,210.17,315.61,2024.96,4.39,6097.29,75.91,"4,084,025.82",213.19,"142,797.00",37.71,40.54,1.26%,0.98,39.36,,,,2024,1.2449030180122478,28.299804697922106,29.544707715934354
